url, status_code
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=277, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=278, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=279, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=280, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=281, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=282, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=283, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=284, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=285, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=286, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=287, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=288, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=289, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=290, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=291, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=292, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=293, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=294, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=295, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=296, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=297, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=298, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=299, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=300, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=301, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=302, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=303, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=304, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=305, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=306, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=307, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=308, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=309, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=310, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=311, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=312, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=313, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=314, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=315, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=316, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=317, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=318, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=319, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=320, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=321, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=322, 200
https://www.congress.gov/search?q={%22source%22:%22legislation%22}&pageSize=250&page=323, 200
